Greenland_temperature_(ºC),Upper_band,Lower_band,"Age_(B.P.,_radio-carbon_calibrated)","NH_temperature_anomaly_(ºC,_full)","NH_temperature_anomaly_(ºC,_no_volc)",VII_(ºC),"Age_(B.P.,_radio-carbon_calibrated).1",Volcanic_forcing_(W/m2),Greenland temperature (ºC)_scaled,"NH temperature anomaly (ºC, full)_scaled","NH_temperature_anomaly_(ºC,_no_volc)_scaled",Co2(ppm),Co2(ppm)_scaled
-31.56726006,-30.98,-32.1235,49,0.012384687,0.174594268,-0.162209581,49,0,0.627983909,0.743657157,0.660987954,250.8273095,0.593338875
-31.54366873,-30.9365,-32.097,50,0.009846311,0.170569193,-0.160722881,50,0,0.629922201,0.742464861,0.658227642,250.6428119,0.591748379
-31.52017028,-30.9,-32.0935,51,0.007145108,0.167482877,-0.16033777,51,0,0.631852863,0.741196084,0.656111112,250.5876728,0.591273041
-31.49668731,-30.8665,-32.1035,52,0.009082072,0.163963725,-0.154881653,52,0,0.633782252,0.742105892,0.653697752,250.7074188,0.592305334
-31.47346749,-30.82,-32.13,53,0.013506205,0.161137789,-0.147631583,53,0,0.635690021,0.744183943,0.651759784,251.0289687,0.595077317
-31.44996904,-30.7565,-32.14,54,0.01097214,0.155997365,-0.145025225,54,0,0.637620682,0.742993672,0.64823459,250.7632947,0.592787023
-31.42648607,-30.6865,-32.1535,55,-6.40E-05,0.154842704,-0.154906716,55,-0.026085292,0.639550072,0.737809901,0.647442748,250.305653,0.588841836
-31.40973684,-30.693,-32.12,56,-0.005154814,0.145056629,-0.150211443,56,-0.070907175,0.640926209,0.73541871,0.640731664,249.6553715,0.583235961
-31.40854489,-30.813,-32.0235,57,0.00012899,0.145749031,-0.145620041,57,-0.192745685,0.641024141,0.737900556,0.641206499,250.2378904,0.588257676
-31.40705882,-30.8565,-31.9735,58,0.006781754,0.14594592,-0.139164167,58,-0.523937093,0.641146238,0.741025414,0.641341521,250.8663361,0.593675311
-31.40524768,-30.87,-31.9435,59,0.003615764,0.151276789,-0.147661025,59,0,0.641295044,0.739538322,0.644997319,251.2217007,0.596738799
-31.40357585,-30.8065,-32,60,0.000421275,0.150791146,-0.150369871,60,0,0.641432403,0.738037845,0.644664275,251.1509287,0.596128696
-31.40568111,-30.783,-32.0435,61,-0.006164537,0.149124414,-0.155288951,61,-0.037908821,0.641259432,0.734944435,0.643521265,250.7160301,0.59237957
-31.41534056,-30.8365,-31.9635,62,-0.002744947,0.146302396,-0.149047343,62,-0.103046862,0.640465801,0.736550645,0.641585985,250.7122374,0.592346874
-31.42487616,-30.9165,-31.9435,63,-0.002857113,0.141358723,-0.144215837,63,-0.280110412,0.639682344,0.736497959,0.638195718,250.3974662,0.589633329
-31.43441176,-30.91,-31.95,64,-0.006259997,0.143790118,-0.150050115,64,-0.761419043,0.638898887,0.734899597,0.639863118,250.3420533,0.589155632
-31.44351393,-30.8765,-32.01,65,-0.00991188,0.138179583,-0.148091463,65,-2.069751547,0.638151042,0.733184278,0.636015531,249.7773246,0.584287281
-31.4574613,-30.8665,-32.07,66,-0.01272463,0.149520601,-0.162245231,66,0,0.637005109,0.731863106,0.643792962,250.2415172,0.588288941
-31.47998452,-30.92,-32.0235,67,-0.015295595,0.151198686,-0.166494281,67,0,0.635154574,0.730655503,0.644943757,250.0618444,0.586740038
-31.50233746,-30.9765,-32.0135,68,-0.012789349,0.149212933,-0.162002282,68,0,0.633318029,0.731832707,0.64358197,249.9701812,0.585949838
-31.52436533,-31.013,-32.0035,69,-0.012413688,0.147903718,-0.160317406,69,0,0.631508193,0.732009158,0.642684138,249.7655253,0.584185563
-31.54633127,-31.0265,-32.03,70,-0.006309987,0.145346214,-0.1516562,70,0,0.629703444,0.734876116,0.640930255,249.7775109,0.584288887
-31.5677709,-31.0365,-32.09,71,-0.004502639,0.153990596,-0.158493235,71,0,0.627941938,0.735725042,0.64685839,250.1213074,0.58725265
-31.58911765,-31.0365,-32.15,72,0.002635464,0.149465071,-0.146829608,72,0,0.626188063,0.739077867,0.643754881,249.8783608,0.585158283
-31.61034056,-30.97,-32.224,73,0.000855309,0.142100513,-0.141245204,73,0,0.624444362,0.738241714,0.638704422,248.9292436,0.576976238
-31.6370743,-30.97,-32.2735,74,0.004691436,0.139302567,-0.134611131,74,0,0.622247885,0.740043574,0.63678565,248.5880225,0.574034676
-31.67208978,-31.03,-32.2735,75,0.005555756,0.144325464,-0.138769707,75,0,0.619370971,0.740449553,0.640230246,248.5865076,0.574021617
-31.70713622,-31.1,-32.26,76,0.015190421,0.145841286,-0.130650865,76,0,0.616491512,0.744975033,0.641269765,248.8715708,0.576479059
-31.74125387,-31.17,-32.2735,77,0.027196646,0.152654305,-0.125457659,77,0,0.613688365,0.750614455,0.64594199,249.6953737,0.583580808
-31.77580495,-31.2365,-32.28,78,0.032967224,0.145849969,-0.112882744,78,0,0.610849606,0.753324943,0.64127572,249.2316829,0.579583473
-31.80970588,-31.3065,-32.33,79,0.032002322,0.147243544,-0.115241222,79,0,0.608064264,0.75287172,0.642231404,248.8025642,0.575884174
-31.84359133,-31.3395,-32.39,80,0.027168751,0.147324775,-0.120156024,80,0,0.605280194,0.750601353,0.642287111,247.9467504,0.568506469
-31.87704334,-31.36,-32.4335,81,0.024482767,0.152941338,-0.128458571,81,0,0.602531736,0.749339724,0.646138832,247.5883268,0.565416611
-31.91068111,-31.3765,-32.52,82,0.027925311,0.156945032,-0.129019721,82,0,0.599768015,0.750956715,0.64888448,247.555241,0.565131388
-31.94359133,-31.36,-32.6,83,0.021407944,0.163767187,-0.142359243,83,0,0.597064072,0.747895455,0.65356297,247.1429381,0.561577053
-31.97701238,-31.333,-32.67,84,0.016402336,0.17495323,-0.158550895,84,0,0.594318157,0.74554428,0.661234123,247.1059099,0.561257844
-32.01255418,-31.36,-32.707,85,0.023948336,0.183646452,-0.159698116,85,0,0.591398,0.749088698,0.667195751,247.7277208,0.566618283
-32.05123839,-31.48,-32.67,86,0.028373037,0.189972018,-0.161598981,86,0,0.588219658,0.751167016,0.671533691,248.0105915,0.569056824
-32.08959752,-31.55,-32.687,87,0.038736312,0.176486294,-0.137749982,87,0,0.585068025,0.75603473,0.662285465,247.5581789,0.565156715
-32.12809598,-31.5665,-32.7035,88,0.041319833,0.176518448,-0.135198616,88,0,0.581904945,0.757248231,0.662307517,247.5064933,0.564711149
-32.16620743,-31.59,-32.7835,89,0.043973794,0.172847873,-0.128874079,89,0,0.578773661,0.758494818,0.659790313,247.3036162,0.562962209
-32.20495356,-31.61,-32.86,90,0.04732947,0.171985708,-0.124656238,90,-0.036293038,0.575590232,0.760071007,0.659199059,247.355016,0.563405311
-32.24321981,-31.5865,-32.94,91,0.046946769,0.165417219,-0.118470451,91,-0.098654707,0.57244623,0.759891249,0.654694528,246.918094,0.559638741
-32.2623839,-31.59,-32.9535,92,0.041723389,0.154948527,-0.113225138,92,-0.268171297,0.570871685,0.757437785,0.647515319,246.1408743,0.552938572
-32.26289474,-31.65,-32.9135,93,0.035203293,0.146995269,-0.111791977,93,-0.728965164,0.570829714,0.754375243,0.642061143,245.6376709,0.548600611
-32.26360681,-31.7,-32.86,94,0.033662777,0.149293228,-0.115630451,94,0,0.570771209,0.75365165,0.643637034,246.1487084,0.553006107
-32.26405573,-31.7365,-32.8435,95,0.026551596,0.145057557,-0.118505961,95,0,0.570734325,0.75031147,0.640732301,245.9494478,0.551288343
-32.26467492,-31.74,-32.83,96,0.020951418,0.140795525,-0.119844107,96,0,0.570683452,0.74768102,0.637809489,245.8829595,0.550715168
-32.26504644,-31.73,-32.847,97,0.020685318,0.137393907,-0.116708589,97,0,0.570652927,0.747556031,0.635476731,246.3166035,0.554453479
-32.26547988,-31.7165,-32.86,98,0.01279915,0.130658753,-0.117859604,98,0,0.570617316,0.743851834,0.630857905,246.0735668,0.552358334
-32.26574303,-31.6765,-32.897,99,0.001604266,0.129840107,-0.128235841,99,0,0.570595694,0.738593505,0.630296494,246.1054718,0.552633378
-32.26625387,-31.6,-32.95,100,-0.002088424,0.124832844,-0.126921267,100,0,0.570553723,0.736859019,0.626862619,246.5087081,0.556109552
-32.26687307,-31.5465,-33.02,101,-0.007926534,0.117442932,-0.125369465,101,0,0.57050285,0.734116811,0.621794773,246.9273126,0.559718212
-32.26760062,-31.5465,-33.0035,102,-0.020981503,0.115643861,-0.136625364,102,0,0.570443073,0.727984785,0.620561008,247.3451492,0.563320251
-32.26931889,-31.6065,-32.95,103,-0.035122356,0.108116312,-0.143238669,103,0,0.570301898,0.721342711,0.615398774,247.4209201,0.563973449
-32.27100619,-31.65,-32.89,104,-0.047996068,0.103997248,-0.151993316,104,0,0.570163267,0.715295824,0.612574007,247.8221223,0.567432089
-32.2725387,-31.7065,-32.8535,105,-0.068721225,0.097458723,-0.166179948,105,0,0.570037354,0.705561048,0.608090024,247.5360393,0.564965856
-32.27447368,-31.7165,-32.8335,106,-0.114707935,0.085591666,-0.200299601,106,0,0.569878373,0.683960715,0.599951846,245.2349766,0.545129109
-32.27557276,-31.72,-32.8235,107,-0.166379751,0.080905704,-0.247285456,107,0,0.569788072,0.659690041,0.596738313,242.9296152,0.525255303
-32.2776161,-31.71,-32.83,108,-0.188586709,0.084529367,-0.273116077,108,0,0.569620189,0.649259251,0.599223344,242.8614001,0.524667242
-32.27897833,-31.69,-32.8235,109,-0.215535965,0.085661528,-0.301197493,109,0,0.569508266,0.636600966,0.599999756,242.242867,0.51933506
-32.28052632,-31.6565,-32.857,110,-0.218797185,0.08450639,-0.303303575,110,-0.017872496,0.569381082,0.635069144,0.599207587,242.8799176,0.524826876
-32.28213622,-31.6265,-32.91,111,-0.225668724,0.085208881,-0.310877605,111,-0.048582483,0.56924881,0.631841526,0.599689341,243.3600312,0.528965786
